bayer_code,bayer,greek,suffix,con,proper,ra_h,dec_deg,mag,hyg_id,hip,hd,hr,source
Alp1,α1 CVn,α,1,CVn,,12.933453197,38.314852517,5.60,,63121,112412,4914,SIMBAD:* alf01 CVn
Alp2,α2 CVn,α,2,CVn,Cor Caroli,12.933796389,38.318375000,2.89,,63125,112413,4915,SIMBAD:* alf02 CVn
Alp1,α1 Cap,α,1,Cap,,20.294128889,-12.508208333,4.24,,100027,192876,7747,SIMBAD:* alf01 Cap
Alp2,α2 Cap,α,2,Cap,Algedi,20.300904332,-12.544852120,3.57,,100064,192947,7754,SIMBAD:* alf02 Cap
Alp,α Cen,α,,Cen,Rigil Kentaurus,14.660137222,-60.833992694,-0.01,,71683,128620,5459,SIMBAD:* alf Cen A
Alp1,α1 Cru,α,1,Cru,Acrux,12.443304444,-63.099091667,1.33,,60718,108248,4730,SIMBAD:* alf01 Cru
Alp2,α2 Cru,α,2,Cru,,12.443333333,-63.099444444,1.58,,,108249,4731,SIMBAD:* alf02 Cru
Alp1,α1 Her,α,1,Her,Rasalgethi,17.244125833,14.390372222,3.35,,84345,156014,6406,SIMBAD/WDS: alf Her A
Alp2,α2 Her,α,2,Her,,17.244216944,14.389994444,5.322,,,156015,6407,SIMBAD/WDS: alf Her B
Alp1,α1 Lib,α,1,Lib,,14.844772492,-15.997235611,5.153,,72603,130819,5530,SIMBAD:* alf01 Lib
Alp2,α2 Lib,α,2,Lib,Zubenelgenubi,14.847975858,-16.041777778,2.741,,72622,130841,5531,SIMBAD:* alf02 Lib
Bet1,β1 Sgr,β,1,Sgr,Arkab Prior,19.377305337,-44.458958385,4.01,,95241,181454,7337,SIMBAD:* bet01 Sgr
Bet2,β2 Sgr,β,2,Sgr,Arkab Posterior,19.386982625,-44.799779197,4.29,,95294,181623,7343,SIMBAD:* bet02 Sgr
Bet1,β1 Sco,β,1,Sco,Acrab,16.090619994,-19.805452778,2.62,,78820,144217,5984,SIMBAD:* bet01 Sco
Bet2,β2 Sco,β,2,Sco,,16.090714244,-19.801904333,4.92,,78821,144218,5985,SIMBAD:* bet02 Sco
Bet1,β1 Tuc,β,1,Tuc,,0.525741917,-62.958218611,4.37,,2484,2884,126,SIMBAD:* bet01 Tuc
Bet2,β2 Tuc,β,2,Tuc,,0.525950639,-62.965592778,4.54,,2487,2885,,SIMBAD:* bet02 Tuc
Bet3,β3 Tuc,β,3,Tuc,,0.545529167,-63.031500000,5.09,,,,,SIMBAD:* bet03 Tuc
