proper,bayer,con,ra_h,dec_deg,catalog_v,representative_vmax,brightness_basis,in_alpha_beta_layer,hyg_id,hip,hd,hr,best_instant_utc,best_date,iso,mag_class,new_non_alpha_beta
Sirius,Alp,CMa,6.752481,-16.716116,-1.44,-1.44,HYG v4.1 catalog V (stable baseline),yes,32263,32349,48915,2491,2026-02-12 16:34,2026-02-13,2026-W07-5,1,no
Canopus,Alp,Car,6.399195,-52.69566,-0.62,-0.62,HYG v4.1 catalog V (stable baseline),yes,30365,30438,45348,2326,2026-02-07 08:07,2026-02-07,2026-W06-6,1,no
Alpha Centauri,Alp,Cen,14.660765,-60.833976,-0.01;1.35,-0.28,flux-combined HYG v4.1 V for unresolved naked-eye system,yes,71456;71453,71683;71681,128620;128621,5459;5460,2026-06-16 10:55,2026-06-16,2026-W25-2,1,no
Arcturus,Alp,Boo,14.26103,19.18241,-0.05,-0.05,HYG v4.1 catalog V (stable baseline),yes,69451,69673,124897,5340,2026-06-10 16:18,2026-06-11,2026-W24-4,1,no
Vega,Alp,Lyr,18.61564,38.783692,0.03,0.03,HYG v4.1 catalog V (stable baseline),yes,90979,91262,172167,7001,2026-08-14 15:25,2026-08-15,2026-W33-6,1,no
Capella,Alp,Aur,5.27815,45.997991,0.08,0.08,HYG v4.1 catalog V (stable baseline),yes,24549,24608,34029,1708,2026-01-21 22:55,2026-01-22,2026-W04-4,1,no
Rigel,Bet,Ori,5.242298,-8.20164,0.18,0.18,HYG v4.1 catalog V (stable baseline),yes,24378,24436,34085,1713,2026-01-21 10:41,2026-01-21,2026-W04-3,1,no
Procyon,Alp,CMi,7.655033,5.224993,0.4,0.4,HYG v4.1 catalog V (stable baseline),yes,37173,37279,61421,2943,2026-02-26 18:37,2026-02-27,2026-W09-5,1,no
Achernar,Alp,Eri,1.628556,-57.236757,0.45,0.45,HYG v4.1 catalog V (stable baseline),yes,7574,7588,10144,472,2026-12-03 04:12,2026-12-03,2026-W49-4,1,no
Betelgeuse,Alp,Ori,5.919529,7.407063,0.45,0.45,HYG v4.1 catalog V (stable baseline),yes,27919,27989,39801,2061,2026-01-31 05:16,2026-01-31,2026-W05-6,1,no
Hadar,Bet,Cen,14.063729,-60.373039,0.61,0.61,HYG v4.1 catalog V (stable baseline),yes,68483,68702,122451,5267,2026-06-07 19:38,2026-06-08,2026-W24-1,1,no
Altair,Alp,Aql,19.846388,8.868322,0.76,0.76,HYG v4.1 catalog V (stable baseline),yes,97338,97649,187642,7557,2026-09-03 17:44,2026-09-04,2026-W36-5,1,no
Acrux,Alp-1,Cru,12.443311,-63.099092,0.77,0.77,HYG v4.1 catalog V (stable baseline),yes,60530,60718,108248,4730,2026-05-14 19:38,2026-05-15,2026-W20-5,1,no
Aldebaran,Alp,Tau,4.598677,16.509301,0.87,0.87,HYG v4.1 catalog V (stable baseline),yes,21368,21421,29139,1457,2026-01-12 09:54,2026-01-12,2026-W03-1,1,no
