name,gcvs_max_v,gcvs_min_v,variability_type,hyg_baseline_overlap,classification,reason
alf Lyr,-0.020,0.070,DSCTC,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
alf Ori,0.000,1.600,SRC,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
bet Cen,0.610,0.045,BCEP,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
eps Peg,0.700,3.500,LC,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
alf Tau,0.750,0.950,LB:,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
alf Aql,0.770,0.004,DSCTC,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
alf Sco,0.880,1.160,LC,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
alf Vir,0.950,0.100,ELL+BCEP,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
alf Cyg,1.210,1.290,ACYG,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
bet Cru,1.230,1.310,BCEP,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
gam Cas,1.600,3.000,GCAS,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
lam Sco,1.620,0.060,BCEP+E:,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
eps Ori,1.640,1.740,ACYG,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
del Sco,1.860,2.320,GCAS,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
bet Aur,1.890,1.980,EA,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
del Vel,1.960,0.400,EA,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
bet Gru,2.000,2.300,LC:,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
alf And,2.060,0.040,ACV:,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
bet Per,2.120,3.390,EA/SD,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
bet Leo,2.140,0.025,DSCTC,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
del Ori,2.140,2.260,EA/DM,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
lam Vel,2.140,2.300,LC,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
alf Lup,2.290,2.340,BCEP,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
eps Cen,2.290,2.310,BCEP,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
eta Cen,2.300,2.510,BE,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
bet Peg,2.310,2.740,LB,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
kap Sco,2.410,2.420,BCEP,yes,already-in-HYG-baseline,already represented in V<=2.50 HYG baseline; use GCVS to enrich variability range/note
CM Tau,-6.000,17.700,SN+PSR,no,exceptional-outburst-only,eruptive/transient GCVS class; maximum is not representative ordinary brightness
B Cas,-4.500,19.000,SNI:,no,exceptional-outburst-only,eruptive/transient GCVS class; maximum is not representative ordinary brightness
V843 Oph,-3.000,19.000,SNI,no,exceptional-outburst-only,eruptive/transient GCVS class; maximum is not representative ordinary brightness
V603 Aql,-1.400,12.150,NA+XM:,no,exceptional-outburst-only,eruptive/transient GCVS class; maximum is not representative ordinary brightness
GK Per,0.200,14.000,NA+XP,no,exceptional-outburst-only,eruptive/transient GCVS class; maximum is not representative ordinary brightness
RR Pic,1.200,12.520,NB,no,exceptional-outburst-only,eruptive/transient GCVS class; maximum is not representative ordinary brightness
DQ Her,1.300,18.080,NB+EA,no,exceptional-outburst-only,eruptive/transient GCVS class; maximum is not representative ordinary brightness
V1500 Cyg,1.690,21.000,NA,no,exceptional-outburst-only,eruptive/transient GCVS class; maximum is not representative ordinary brightness
T CrB,2.000,10.800,NR,no,exceptional-outburst-only,eruptive/transient GCVS class; maximum is not representative ordinary brightness
V476 Cyg,2.000,17.090,NA,no,exceptional-outburst-only,eruptive/transient GCVS class; maximum is not representative ordinary brightness
eta Car,-0.800,9.000,SDOR,no,needs-source-check,V-system maximum reaches threshold but object is not confidently reconciled to HYG baseline
eps UMa,1.760,0.020,ACV,no,needs-source-check,V-system maximum reaches threshold but object is not confidently reconciled to HYG baseline
gam 2 Vel,1.810,1.870,WR,no,needs-source-check,V-system maximum reaches threshold but object is not confidently reconciled to HYG baseline
alf UMi,1.860,2.130,DCEPS,no,needs-source-check,V-system maximum reaches threshold but object is not confidently reconciled to HYG baseline
omi Cet,1.900,10.400,M,no,needs-source-check,V-system maximum reaches threshold but object is not confidently reconciled to HYG baseline
V862 Sco,2.000,8.500,GCAS:,no,needs-source-check,V-system maximum reaches threshold but object is not confidently reconciled to HYG baseline
