name,abbr,ra_h_0.20,dec_deg_0.20,area_sq_deg_0.20,date_0.20,ra_h_0.10,dec_deg_0.10,area_sq_deg_0.10,date_0.10,ra_h_0.05,dec_deg_0.05,area_sq_deg_0.05,date_0.05,ra_h_0.025,dec_deg_0.025,area_sq_deg_0.025,date_0.025,centroid_shift_deg_0.20_to_0.10,centroid_shift_deg_0.10_to_0.05,centroid_shift_deg_0.05_to_0.025,date_shift_days_0.20_to_0.10,date_shift_days_0.10_to_0.05,date_shift_days_0.05_to_0.025
Andromeda,And,0.67285524,40.50391719,722.7220,2026-11-20,0.67369965,40.48137254,722.3120,2026-11-20,0.67269578,40.47518242,722.5973,2026-11-20,0.67292926,40.48585349,722.4749,2026-11-20,0.024516,0.013020,0.010999,0,0,0
Antlia,Ant,10.13449622,-34.03570531,239.2638,2026-04-08,10.13216819,-34.01404255,238.6376,2026-04-08,10.13272760,-34.01217875,238.8336,2026-04-08,10.13258409,-34.01037098,238.7509,2026-04-08,0.036151,0.007201,0.002540,0,0,0
Apus,Aps,16.26405329,-76.00817122,206.7240,2026-07-10,16.26600410,-76.01144136,206.4487,2026-07-10,16.26607967,-76.01093275,206.4611,2026-07-10,16.26600796,-76.01092832,206.4600,2026-07-10,0.007794,0.000578,0.000260,0,0,0
Aquarius,Aqr,22.40279819,-10.48354213,983.6468,2026-10-16,22.39897528,-10.45760257,979.2725,2026-10-16,22.39968076,-10.46486540,979.9282,2026-10-16,22.39943349,-10.46249955,979.8533,2026-10-16,0.062069,0.012690,0.004347,0,0,0
Aquila,Aql,19.64809271,2.10018014,653.3051,2026-08-31,19.64822506,2.10708393,652.6289,2026-08-31,19.64808139,2.10738286,652.5491,2026-08-31,19.64815018,2.10668020,652.4976,2026-08-31,0.007183,0.002174,0.001248,0,0,0
Ara,Ara,17.33771533,-54.26778011,237.8422,2026-07-26,17.33809638,-54.25477832,237.1733,2026-07-26,17.33806191,-54.25409838,237.1228,2026-07-26,17.33804974,-54.25538161,237.1306,2026-07-26,0.013424,0.000744,0.001288,0,0,0
Aries,Ari,2.66024850,20.08976299,442.1431,2026-12-17,2.65914887,20.09556478,441.5900,2026-12-17,2.65893979,20.09294389,441.5237,2026-12-17,2.65909439,20.09363832,441.4922,2026-12-17,0.016541,0.003943,0.002286,0,0,0
Auriga,Aur,5.94235849,41.07798560,658.0897,2026-02-01,5.94124273,41.08954230,657.2637,2026-02-01,5.94146101,41.08947323,657.2698,2026-02-01,5.94145017,41.08981770,657.2729,2026-02-01,0.017108,0.002469,0.000366,0,0,0
Boötes,Boo,14.59244969,29.29720471,908.3763,2026-06-15,14.59413336,29.31519893,906.8075,2026-06-15,14.59408845,29.31448287,906.6636,2026-06-15,14.59408584,29.31405969,906.6917,2026-06-15,0.028439,0.000926,0.000425,0,0,0
Caelum,Cae,4.75234851,-38.07148337,125.5049,2026-01-15,4.75283366,-38.05948458,124.8417,2026-01-15,4.75274043,-38.06277038,124.7825,2026-01-15,4.75277687,-38.06098883,124.7856,2026-01-15,0.013297,0.003465,0.001833,0,0,0
Camelopardalis,Cam,5.69239825,70.80576600,757.8424,2026-01-28,5.69162032,70.79438698,757.0202,2026-01-28,5.69192214,70.79899824,757.1949,2026-01-28,5.69187182,70.79846182,757.1669,2026-01-28,0.012009,0.004846,0.000591,0,0,0
Cancer,Cnc,8.68317070,19.29894184,506.4039,2026-03-15,8.68224086,19.28841087,506.2177,2026-03-15,8.68239828,19.28917321,506.0360,2026-03-15,8.68235910,19.28990809,506.0230,2026-03-15,0.016858,0.002356,0.000921,0,0,0
Canes Venatici,CVn,13.15866503,40.32898773,466.0481,2026-05-26,13.15982826,40.36505626,465.3505,2026-05-26,13.15949095,40.35489598,465.1173,2026-05-26,13.15936675,40.35923715,465.1706,2026-05-26,0.038442,0.010867,0.004567,0,0,0
Canis Major,CMa,6.82912074,-21.94448355,380.0446,2026-02-14,6.82975079,-21.94458087,380.0437,2026-02-14,6.82976735,-21.94476731,380.0367,2026-02-14,6.82979586,-21.94297054,380.0394,2026-02-14,0.008767,0.000296,0.001840,0,0,0
