name,abbr,ra_h_0.05,dec_deg_0.05,area_sq_deg_0.05,date_0.05,ra_h_0.025,dec_deg_0.025,area_sq_deg_0.025,date_0.025,centroid_shift_deg_0.05_to_0.025,date_shift_days_0.05_to_0.025
Andromeda,And,0.67269578,40.47518242,722.5973,2026-11-20,0.67292926,40.48585349,722.4749,2026-11-20,0.010999,0
Aquarius,Aqr,22.39968076,-10.46486540,979.9282,2026-10-16,22.39943349,-10.46249955,979.8533,2026-10-16,0.004347,0
Cepheus,Cep,22.32265310,72.10169883,588.3028,2026-10-15,22.32282199,72.10082932,588.3658,2026-10-15,0.001167,0
Cetus,Cet,1.62724181,-8.99774956,1231.3112,2026-12-03,1.62707149,-8.99732725,1231.4235,2026-12-03,0.002558,0
Crater,Crt,11.40655532,-15.69939561,282.0131,2026-04-29,11.40733535,-15.69571091,282.4577,2026-04-29,0.011851,0
Draco,Dra,16.95526248,68.13037332,1082.4660,2026-07-20,16.95539428,68.12983460,1082.4185,2026-07-20,0.000912,0
Eridanus,Eri,3.80053124,-21.01889842,1137.9587,2026-01-01,3.80055431,-21.01889232,1137.9924,2026-01-01,0.000323,0
Hydra,Hya,10.43552296,-18.95089845,1302.5706,2026-04-13,10.43528492,-18.94820065,1302.5005,2026-04-13,0.004322,0
Octans,Oct,21.23442012,-84.57386899,290.0581,2026-09-27,21.23449705,-84.57426533,290.0553,2026-09-27,0.000411,0
Sagitta,Sge,19.71047248,18.72874958,79.9091,2026-09-01,19.71044718,18.72906894,79.9373,2026-09-01,0.000481,0
Sculptor,Scl,0.46375835,-32.24483505,474.8333,2026-11-17,0.46358472,-32.24285161,474.9740,2026-11-17,0.002964,0
Serpens,Ser,16.49475214,4.81611539,636.9753,2026-07-13,16.49484809,4.81574274,636.9703,2026-07-13,0.001482,0
Triangulum,Tri,2.13699752,32.15689515,131.7965,2026-12-10,2.13696132,32.15607363,131.8438,2026-12-10,0.000941,0
Ursa Major,UMa,11.03844550,54.38473519,1279.0397,2026-04-23,11.03881386,54.38297392,1279.2624,2026-04-23,0.003668,0
Ursa Minor,UMi,14.51391667,86.95555092,619.4840,2026-06-14,14.51593284,86.96186605,619.1247,2026-06-14,0.006516,0
