name,abbr,centroid_ra_h,centroid_dec_deg,sampled_area_sq_deg,centroid_step_deg,best_instant_utc,best_date,iso
Andromeda,And,0.673700,40.481373,722.312,0.100,2026-11-19 17:12,2026-11-20,2026-W47-5
Antlia,Ant,10.132168,-34.014043,238.638,0.100,2026-04-08 05:39,2026-04-08,2026-W15-3
Apus,Aps,16.266004,-76.011441,206.449,0.100,2026-07-09 17:20,2026-07-10,2026-W28-5
Aquarius,Aqr,22.398975,-10.457603,979.272,0.100,2026-10-16 01:01,2026-10-16,2026-W42-5
Aquila,Aql,19.648225,2.107084,652.629,0.100,2026-08-31 10:56,2026-08-31,2026-W36-1
Ara,Ara,17.338096,-54.254778,237.173,0.100,2026-07-25 17:16,2026-07-26,2026-W30-7
Aries,Ari,2.659149,20.095565,441.590,0.100,2026-12-17 06:11,2026-12-17,2026-W51-4
Auriga,Aur,5.941243,41.089542,657.264,0.100,2026-01-31 12:55,2026-02-01,2026-W05-7
Boötes,Boo,14.594133,29.315199,906.807,0.100,2026-06-15 11:51,2026-06-15,2026-W25-1
Caelum,Cae,4.752834,-38.059485,124.842,0.100,2026-01-14 13:21,2026-01-15,2026-W03-4
Camelopardalis,Cam,5.691620,70.794387,757.020,0.100,2026-01-27 21:30,2026-01-28,2026-W05-3
Cancer,Cnc,8.682241,19.288411,506.218,0.100,2026-03-15 09:24,2026-03-15,2026-W11-7
Canes Venatici,CVn,13.159828,40.365056,465.351,0.100,2026-05-25 13:38,2026-05-26,2026-W22-2
Canis Major,CMa,6.829751,-21.944581,380.044,0.100,2026-02-13 20:58,2026-02-14,2026-W07-6
Canis Minor,CMi,7.629101,5.912443,183.468,0.100,2026-02-26 08:43,2026-02-26,2026-W09-4
Capricornus,Cap,21.024351,-18.752818,413.821,0.100,2026-09-23 09:56,2026-09-23,2026-W39-3
Carina,Car,8.775436,-63.051484,494.533,0.100,2026-03-16 22:04,2026-03-17,2026-W12-2
Cassiopeia,Cas,1.023107,62.554323,598.496,0.100,2026-11-24 16:52,2026-11-25,2026-W48-3
Centaurus,Cen,13.099548,-46.091643,1060.993,0.100,2026-05-24 16:10,2026-05-25,2026-W22-1
Cepheus,Cep,22.323588,72.097587,588.665,0.100,2026-10-14 19:50,2026-10-15,2026-W42-4
Cetus,Cet,1.627092,-8.999078,1232.039,0.100,2026-12-03 03:43,2026-12-03,2026-W49-4
Chamaeleon,Cha,10.686679,-80.087901,131.140,0.100,2026-04-17 06:10,2026-04-17,2026-W16-5
Circinus,Cir,14.817365,-63.225257,93.245,0.100,2026-06-18 17:08,2026-06-19,2026-W25-5
Columba,Col,5.788137,-35.615388,270.278,0.100,2026-01-29 07:10,2026-01-29,2026-W05-4
Coma Berenices,Com,12.753895,22.360760,386.669,0.100,2026-05-19 12:14,2026-05-20,2026-W21-3
