bayer_code,bayer,greek,suffix,con,proper,ra_h,dec_deg,mag,hyg_id,hip,hd,hr
Alp,α And,α,,And,Alpheratz,0.139791,29.090432,2.07,676,677,358,15
Bet,β And,β,,And,Mirach,1.162194,35.620558,2.07,5436,5447,6860,337
Alp,α Ant,α,,Ant,,10.45253,-31.067779,4.28,51027,51172,90610,4104
Alp,α Aps,α,,Aps,,14.797701,-79.044751,3.83,72144,72370,129078,5470
Bet,β Aps,β,,Aps,,16.718126,-77.517435,4.23,81602,81852,149324,6163
Alp,α Aql,α,,Aql,Altair,19.846388,8.868322,0.76,97338,97649,187642,7557
Bet,β Aql,β,,Aql,Alshain,19.921887,6.406763,3.71,97725,98036,188512,7602
Alp,α Aqr,α,,Aqr,Sadalmelik,22.096399,-0.319851,2.95,108728,109074,209750,8414
Bet,β Aqr,β,,Aqr,Sadalsuud,21.525982,-5.571172,2.9,105936,106278,204867,8232
Alp,α Ara,α,,Ara,,17.530695,-49.876145,2.84,85530,85792,158427,6510
Bet,β Ara,β,,Ara,,17.421665,-55.529884,2.84,84999,85258,157244,6461
Alp,α Ari,α,,Ari,Hamal,2.119555,23.462423,2.01,9861,9884,12929,617
Bet,β Ari,β,,Ari,Sheratan,1.910668,20.808035,2.64,8884,8903,11636,553
Alp,α Aur,α,,Aur,Capella,5.27815,45.997991,0.08,24549,24608,34029,1708
Bet,β Aur,β,,Aur,Menkalinan,5.992149,44.947433,1.9,28288,28360,40183,2088
Alp,α Boo,α,,Boo,Arcturus,14.26103,19.18241,-0.05,69451,69673,124897,5340
Bet,β Boo,β,,Boo,Nekkar,15.032436,40.390566,3.49,73327,73555,133208,5602
Alp,α CMa,α,,CMa,Sirius,6.752481,-16.716116,-1.44,32263,32349,48915,2491
Bet,β CMa,β,,CMa,Mirzam,6.378329,-17.955918,1.98,30251,30324,44743,2294
Alp,α CMi,α,,CMi,Procyon,7.655033,5.224993,0.4,37173,37279,61421,2943
Bet,β CMi,β,,CMi,Gomeisa,7.452512,8.289315,2.89,36087,36188,58715,2845
Alp1,α1 CVn,α,1,CVn,,12.933453197,38.314852517,5.60,,63121,112412,4914
Alp2,α2 CVn,α,2,CVn,Cor Caroli,12.933796389,38.318375000,2.89,,63125,112413,4915
Bet,β CVn,β,,CVn,Chara,12.562411,41.35748,4.24,61124,61317,109358,4785
Alp,α Cae,α,,Cae,,4.676039,-41.863752,4.44,21717,21770,29875,1502
Bet,β Cae,β,,Cae,,4.700965,-37.144297,5.04,21808,21861,29992,1503
Alp,α Cam,α,,Cam,,4.900836,66.342678,4.26,22730,22783,30614,1542
Bet,β Cam,β,,Cam,,5.05697,60.442245,4.03,23467,23522,31910,1603
Alp1,α1 Cap,α,1,Cap,,20.294128889,-12.508208333,4.24,,100027,192876,7747
Alp2,α2 Cap,α,2,Cap,Algedi,20.300904332,-12.544852120,3.57,,100064,192947,7754
Bet,β Cap,β,,Cap,Dabih,20.350187,-14.781367,3.05,100020,100345,193495,7776
Alp,α Car,α,,Car,Canopus,6.399195,-52.69566,-0.62,30365,30438,45348,2326
Bet,β Car,β,,Car,Miaplacidus,9.220041,-69.717208,1.67,45106,45238,80007,3685
Alp,α Cas,α,,Cas,Schedar,0.675116,56.537331,2.24,3172,3179,3712,168
Bet,β Cas,β,,Cas,Caph,0.152887,59.14978,2.28,744,746,432,21
Alp,α Cen,α,,Cen,Rigil Kentaurus,14.660137222,-60.833992694,-0.01,,71683,128620,5459
Bet,β Cen,β,,Cen,Hadar,14.063729,-60.373039,0.61,68483,68702,122451,5267
Alp,α Cep,α,,Cep,Alderamin,21.30963,62.585573,2.45,104861,105199,203280,8162
Bet,β Cep,β,,Cep,Alfirk,21.477662,70.560716,3.23,105691,106032,205021,8238
Alp,α Cet,α,,Cet,Menkar,3.037992,4.089734,2.54,14100,14135,18884,911
Bet,β Cet,β,,Cet,Diphda,0.72649,-17.986605,2.04,3413,3419,4128,188
Alp,α Cha,α,,Cha,,8.308703,-76.919722,4.05,40587,40702,71243,3318
Bet,β Cha,β,,Cha,,12.305812,-79.31224,4.24,59816,60000,106911,4674
Alp,α Cir,α,,Cir,,14.708492,-64.975138,3.18,71682,71908,128898,5463
Bet,β Cir,β,,Cir,,15.291917,-58.801208,4.07,74595,74824,135379,5670
Alp,α Cnc,α,,Cnc,Acubens,8.974784,11.857701,4.26,43939,44066,76756,3572
Bet,β Cnc,β,,Cnc,Tarf,8.275256,9.185545,3.53,40411,40526,69267,3249
Alp,α Col,α,,Col,Phact,5.660817,-34.074108,2.65,26569,26634,37795,1956
Bet,β Col,β,,Col,Wazn,5.849329,-35.768309,3.12,27559,27628,39425,2040
Alp,α Com,α,,Com,Diadem,13.166469,17.529431,4.32,64037,64241,114378,4968
Alp,α Com,α,,Com,,13.166389,17.528977,5.17,118869,,114379,4969
Bet,β Com,β,,Com,,13.197904,27.878183,4.23,64189,64394,114710,4983
Alp,α CrA,α,,CrA,Meridiana,19.157869,-37.904474,4.11,93819,94114,178253,7254
Bet,β CrA,β,,CrA,,19.167154,-39.340796,4.1,93865,94160,178345,7259
Alp,α CrB,α,,CrB,Alphecca,15.578128,26.714693,2.22,76035,76267,139006,5793
Bet,β CrB,β,,CrB,Nusakan,15.463818,29.105703,3.66,75466,75695,137909,5747
Alp,α Crt,α,,Crt,Alkes,10.996244,-18.298783,4.08,53584,53740,95272,4287
Bet,β Crt,β,,Crt,,11.194302,-22.825847,4.46,54522,54682,97277,4343
Alp1,α1 Cru,α,1,Cru,Acrux,12.443304444,-63.099091667,1.33,,60718,108248,4730
Alp2,α2 Cru,α,2,Cru,,12.443333333,-63.099444444,1.58,,,108249,4731
Bet,β Cru,β,,Cru,Mimosa,12.795359,-59.688764,1.25,62239,62434,111123,4853
Alp,α Crv,α,,Crv,Alchiba,12.140225,-24.728875,4.02,59020,59199,105452,4623
Bet,β Crv,β,,Crv,Kraz,12.573121,-23.396759,2.65,61166,61359,109379,4786
Alp,α Cyg,α,,Cyg,Deneb,20.690532,45.280338,1.25,101767,102098,197345,7924
Bet1,β1 Cyg,β,1,Cyg,Albireo,19.512023,27.959681,3.05,95648,95947,183912,7417
Bet2,β2 Cyg,β,2,Cyg,Albireo B,19.51261,27.965276,5.12,95652,95951,183914,7418
Alp,α Del,α,,Del,Sualocin,20.660635,15.912072,3.77,101629,101958,196867,7906
Bet,β Del,β,,Del,Rotanev,20.625816,14.595087,3.64,101442,101769,196524,7882
Alp,α Dor,α,,Dor,,4.566598,-55.044975,3.3,21228,21281,29305,1465
Bet,β Dor,β,,Dor,,5.560421,-62.489825,3.76,26004,26069,37350,1922
Alp,α Dra,α,,Dra,Thuban,14.073165,64.37585,3.67,68537,68756,123299,5291
Bet,β Dra,β,,Dra,Rastaban,17.507213,52.301387,2.79,85410,85670,159181,6536
Alp,α Equ,α,,Equ,Kitalpha,21.263731,5.247845,3.92,104649,104987,202447,8131
Bet,β Equ,β,,Equ,,21.381559,6.81114,5.16,105229,105570,203562,8178
Alp,α Eri,α,,Eri,Achernar,1.628556,-57.236757,0.45,7574,7588,10144,472
Bet,β Eri,β,,Eri,Cursa,5.130829,-5.086446,2.78,23820,23875,33111,1666
Alp,α For,α,,For,Dalim,3.201249,-28.987618,3.8,14843,14879,20010,963
Bet,β For,β,,For,,2.818169,-32.405898,4.45,13114,13147,17652,841
Alp,α Gem,α,,Gem,Castor,7.576634,31.888276,1.58,36744,36850,60179,2891
