category,object,ra_h,dec_deg,in_milky_way
messier,M1,5.575,22.01666667,no
messier,M2,21.55833333,0.81666667,no
messier,M3,13.70333333,28.38333333,no
messier,M4,16.39333333,-26.53333333,yes
messier,M5,15.31,2.08333333,no
messier,M6,17.66833333,-32.21666667,yes
messier,M7,17.89833333,-34.81666667,yes
messier,M8,18.06333333,-24.38333333,yes
messier,M9,17.32,-18.51666667,yes
messier,M10,16.95166667,-4.1,no
messier,M11,18.85166667,-6.26666667,yes
messier,M12,16.78666667,-1.95,no
messier,M13,16.695,36.46666667,no
messier,M14,17.62666667,-3.25,no
messier,M15,21.5,12.16666667,no
messier,M16,18.31333333,-13.78333333,yes
messier,M17,18.34666667,-16.18333333,yes
messier,M18,18.33166667,-17.13333333,yes
messier,M19,17.04333333,-26.26666667,yes
messier,M20,18.04333333,-23.03333333,yes
messier,M21,18.07666667,-22.5,yes
messier,M22,18.60666667,-23.9,yes
messier,M23,17.94666667,-19.01666667,yes
messier,M24,18.28166667,-18.5,yes
messier,M25,18.52666667,-19.25,yes
messier,M26,18.75333333,-9.4,yes
messier,M27,19.99333333,22.71666667,yes
messier,M28,18.40833333,-24.86666667,yes
messier,M29,20.39833333,38.53333333,yes
messier,M30,21.67333333,-23.18333333,no
messier,M31,0.69666667,41.26666667,no
messier,M32,0.71333333,40.86666667,no
messier,M33,1.565,30.65,no
messier,M34,2.7,42.78333333,no
messier,M35,6.14833333,24.33333333,yes
messier,M36,5.60166667,34.13333333,yes
messier,M37,5.87333333,32.55,yes
messier,M38,5.47833333,35.83333333,yes
messier,M39,21.53666667,48.43333333,yes
messier,M40,12.37013889,58.08305556,no
messier,M41,6.78333333,-20.73333333,no
messier,M42,5.59,-5.45,no
messier,M43,5.59333333,-5.26666667,no
messier,M44,8.66833333,19.98333333,no
messier,M45,3.78333333,24.11666667,no
messier,M46,7.69666667,-14.81666667,yes
messier,M47,7.61,-14.5,yes
messier,M48,8.23,-5.8,no
messier,M49,12.49666667,8,no
messier,M50,7.05333333,-8.33333333,yes
messier,M51,13.5,47.18333333,no
messier,M52,23.40333333,61.58333333,yes
messier,M53,13.215,18.16666667,no
messier,M54,18.91833333,-30.48333333,yes
messier,M55,19.66666667,-30.96666667,no
messier,M56,19.27666667,30.18333333,yes
messier,M57,18.89333333,33.03333333,no
messier,M58,12.62833333,11.81666667,no
messier,M59,12.7,11.65,no
messier,M60,12.72833333,11.55,no
messier,M61,12.365,4.46666667,no
messier,M62,17.02,-30.11666667,yes
messier,M63,13.26333333,42.03333333,no
messier,M64,12.945,21.68333333,no
messier,M65,11.315,13.08333333,no
messier,M66,11.33666667,12.98333333,no
messier,M67,8.84,11.81666667,no
messier,M68,12.65833333,-26.75,no
messier,M69,18.52333333,-32.35,yes
messier,M70,18.72,-32.3,yes
messier,M71,19.89666667,18.78333333,yes
messier,M72,20.89166667,-12.53333333,no
messier,M73,20.98333333,-12.63333333,no
messier,M74,1.61166667,15.78333333,no
messier,M75,20.10166667,-21.91666667,no
messier,M76,1.70666667,51.56666667,yes
messier,M77,2.71166667,0.03333333,no
messier,M78,5.77833333,0.05,no
messier,M79,5.40833333,-24.55,no
messier,M80,16.28333333,-22.98333333,yes
messier,M81,9.92666667,69.06666667,no
messier,M82,9.93,69.68333333,no
messier,M83,13.61666667,-29.86666667,no
messier,M84,12.41833333,12.88333333,no
messier,M85,12.425,18.2,no
messier,M86,12.43666667,12.95,no
messier,M87,12.51333333,12.4,no
messier,M88,12.535,14.43333333,no
messier,M89,12.595,12.55,no
messier,M90,12.61333333,13.16666667,no
messier,M91,12.59166667,14.5,no
messier,M92,17.285,43.13333333,no
messier,M93,7.74333333,-23.86666667,yes
messier,M94,12.84833333,41.13333333,no
messier,M95,10.73333333,11.7,no
messier,M96,10.78,11.81666667,no
messier,M97,11.24666667,55.01666667,no
messier,M98,12.23166667,14.91666667,no
messier,M99,12.315,14.43333333,no
messier,M100,12.38333333,15.83333333,no
messier,M101,14.05333333,54.35,no
messier,M102,15.10833333,55.76666667,no
messier,M103,1.55333333,60.7,yes
messier,M104,12.66666667,-11.61666667,no
messier,M105,10.79666667,12.58333333,no
messier,M106,12.315,47.31666667,no
messier,M107,16.54166667,-13.05,no
messier,M108,11.19166667,55.66666667,no
messier,M109,11.96,53.38333333,no
messier,M110,0.67333333,41.68333333,no
bayer,α,0.139806,29.090432,no
bayer,β,1.162194,35.620558,no
bayer,α,10.452528,-31.067778,no
bayer,β,9.487417,-35.951333,no
bayer,α,14.797667,-79.04475,no
bayer,β,16.717944,-77.517444,no
bayer,α,22.096389,-0.319833,no
bayer,β,21.525972,-5.571167,no
bayer,α,19.846389,8.868333,yes
bayer,β,19.921889,6.40675,no
bayer,α,17.530694,-49.876111,yes
bayer,β,17.421667,-55.529833,no
bayer,α,2.119556,23.462417,no
bayer,β,1.910667,20.808028,no
bayer,α,5.278167,45.998028,no
bayer,β,5.992139,44.947444,no
bayer,α,14.261028,19.182417,no
bayer,β,15.032444,40.390556,no
bayer,α,4.676028,-41.86375,no
bayer,β,4.700972,-37.144278,no
bayer,α,4.900833,66.342667,no
bayer,β,5.056972,60.442278,no
bayer,α,8.974778,11.857694,no
bayer,β,8.27525,9.185667,no
bayer,α,12.933806,38.318389,no
bayer,β,12.562361,41.357472,no
bayer,α,6.752472,-16.716111,no
bayer,β,6.378333,-17.955917,no
bayer,α,7.655028,5.225,no
bayer,β,7.4525,8.289306,no
bayer,α,20.300889,-12.544861,no
bayer,β,20.350194,-14.781389,no
bayer,α,6.399194,-52.695667,no
bayer,β,9.22,-69.717194,no
bayer,α,0.675139,56.537333,yes
bayer,β,0.152972,59.149778,yes
bayer,α,14.660139,-60.833972,no
bayer,β,14.063722,-60.373028,no
bayer,α,21.309667,62.585583,no
bayer,β,21.477667,70.560722,no
bayer,α,3.037972,4.089722,no
bayer,β,0.7265,-17.986611,no
bayer,α,8.308694,-76.919722,no
bayer,β,12.30575,-79.312278,no
bayer,α,14.708444,-64.975139,no
bayer,β,15.291917,-58.801194,no
bayer,α,5.660806,-34.074111,no
bayer,β,5.849333,-35.768306,no
bayer,α,13.166472,17.529444,no
bayer,β,13.197889,27.878167,no
