name,max_mag,max_mag_limit,max_mag_flag,mag_system,min_mag,variability_type
CM Tau,-6.000,,:,V,17.700,SN+PSR
B Cas,-4.500,,:,V,19.000,SNI:
V843 Oph,-3.000,,,V,19.000,SNI
V603 Aql,-1.400,,,V,12.150,NA+XM:
eta Car,-0.800,,,V,9.000,SDOR
alf Lyr,-0.020,,,V,0.070,DSCTC
alf Ori,0.000,,,V,1.600,SRC
bet Ori,0.170,,,Hp,0.220,ACYG
GK Per,0.200,,,V,14.000,NA+XP
V837 Her,0.200,,,L,1.300,M
alf Eri,0.400,,,Hp,0.460,BE
CP Pup,0.500,,,p,17.000,NA
OZ Gem,0.500,,,L,1.900,M
V4120 Sgr,0.600,,,K,1.000,M
bet Cen,0.610,,,V,0.045,BCEP
V1969 Cyg,0.700,,,L,2.000,M
eps Peg,0.700,,,V,3.500,LC
alf Tau,0.750,,,V,0.950,LB:
alf Aql,0.770,,,V,0.004,DSCTC
alf Sco,0.880,,,V,1.160,LC
WX Psc,0.900,,,K,4.300,M
alf Vir,0.950,,,V,0.100,ELL+BCEP
IW Hya,1.000,,,K,3.000,M:
V373 Aur,1.000,,,L,2.500,M
V1416 Aql,1.100,,,L,2.100,M
RR Pic,1.200,,,V,12.520,NB
V1968 Cyg,1.200,,,L,3.200,M
alf Cyg,1.210,,,V,1.290,ACYG
bet Cru,1.230,,,V,1.310,BCEP
DQ Her,1.300,,,V,18.080,NB+EA
V393 Aur,1.300,,,L,2.300,SRA
V701 Cas,1.300,,,L,3.600,M
V669 Cas,1.570,,,L,3.020,M:
V630 Sgr,1.600,,,p,14.400,NA
gam Cas,1.600,,,V,3.000,GCAS
lam Sco,1.620,,,V,0.060,BCEP+E:
eps Ori,1.640,,,V,1.740,ACYG
BW Cam,1.690,,,K,3.090,M
V1500 Cyg,1.690,,,V,21.000,NA
IZ Peg,1.700,,,L,6.400,M
V3880 Sgr,1.700,,,K,3.100,M
eps UMa,1.760,,,V,0.020,ACV
V1366 Sco,1.790,,,K,3.510,M
LP And,1.800,,,K,3.700,M
gam 2 Vel,1.810,,,V,1.870,WR
V569 Pup,1.850,,,K,2.740,LB
alf UMi,1.860,,,V,2.130,DCEPS
del Sco,1.860,,,V,2.320,GCAS
bet CMa,1.870,,,Hp,1.900,BCEP
bet Aur,1.890,,,V,1.980,EA
omi Cet,1.900,,,V,10.400,M
del Vel,1.960,,,V,0.400,EA
T CrB,2.000,,,V,10.800,NR
V476 Cyg,2.000,,,V,17.090,NA
V862 Sco,2.000,,,V,8.500,GCAS:
bet Gru,2.000,,,V,2.300,LC:
AI Vol,2.040,,,K,3.670,M
alf And,2.060,,,V,0.040,ACV:
CP Lac,2.100,,,p,16.600,NA
V656 Cas,2.100,,,K,4.100,M
zet Pup,2.110,,,Hp,2.170,ACYG:
bet Per,2.120,,,V,3.390,EA/SD
bet Leo,2.140,,,V,0.025,DSCTC
del Ori,2.140,,,V,2.260,EA/DM
lam Vel,2.140,,,V,2.300,LC
alf CrB,2.210,,,B,2.320,EA/DM
alf Lup,2.290,,,V,2.340,BCEP
eps Cen,2.290,,,V,2.310,BCEP
eta Cen,2.300,,,V,2.510,BE
bet Peg,2.310,,,V,2.740,LB
bet Cas,2.350,,,Hp,2.380,DSCTC
BH Cam,2.370,,,K,2.530,LB
eta CMa,2.380,,,Hp,2.480,ACYG
IW Peg,2.400,,,K,3.400,M
V1906 Cyg,2.400,,,K,3.300,M
alf Cas,2.410,,,Hp,,CST
kap Sco,2.410,,,V,2.420,BCEP
V1018 Sco,2.420,,,L',4.700,SR
V697 Her,2.450,,,K,3.760,M
CD Gru,2.480,,,K,2.860,M:
V693 Car,2.480,,,K,4.250,M
