messier,ra_h,best_instant_utc,best_date,iso
M1,5.575000,2026-01-26 05:01,2026-01-26,2026-W05-1
M2,21.558333,2026-10-02 07:11,2026-10-02,2026-W40-5
M3,13.703333,2026-06-02 13:39,2026-06-03,2026-W23-3
M4,16.393333,2026-07-11 14:16,2026-07-12,2026-W28-7
M5,15.310000,2026-06-25 19:42,2026-06-26,2026-W26-5
M6,17.668333,2026-07-30 11:54,2026-07-30,2026-W31-4
M7,17.898333,2026-08-02 21:19,2026-08-03,2026-W32-1
M8,18.063333,2026-08-05 07:45,2026-08-05,2026-W32-3
M9,17.320000,2026-07-25 11:25,2026-07-25,2026-W30-6
M10,16.951667,2026-07-20 01:13,2026-07-20,2026-W30-1
M11,18.851667,2026-08-16 23:54,2026-08-17,2026-W34-1
M12,16.786667,2026-07-17 14:12,2026-07-18,2026-W29-6
M13,16.695000,2026-07-16 06:15,2026-07-16,2026-W29-4
M14,17.626667,2026-07-29 21:17,2026-07-30,2026-W31-4
M15,21.500000,2026-10-01 10:17,2026-10-01,2026-W40-4
M16,18.313333,2026-08-08 23:07,2026-08-09,2026-W32-7
M17,18.346667,2026-08-09 10:54,2026-08-09,2026-W32-7
M18,18.331667,2026-08-09 05:36,2026-08-09,2026-W32-7
M19,17.043333,2026-07-21 09:25,2026-07-21,2026-W30-2
M20,18.038333,2026-08-04 22:49,2026-08-05,2026-W32-3
M21,18.076667,2026-08-05 12:22,2026-08-05,2026-W32-3
M22,18.606667,2026-08-13 07:40,2026-08-13,2026-W33-4
M23,17.946667,2026-08-03 14:26,2026-08-04,2026-W32-2
M24,18.306667,2026-08-08 20:45,2026-08-09,2026-W32-7
M25,18.528333,2026-08-12 04:04,2026-08-12,2026-W33-3
M26,18.753333,2026-08-15 12:52,2026-08-16,2026-W33-7
M27,19.993333,2026-09-03 14:24,2026-09-04,2026-W36-5
M28,18.408333,2026-08-10 09:42,2026-08-10,2026-W33-1
M29,20.398333,2026-09-09 22:57,2026-09-10,2026-W37-4
M30,21.673333,2026-10-03 23:04,2026-10-04,2026-W40-7
