iau_abbreviation,resource_filename,source_url,local_path,byte_size,sha256,acquired_at_utc
AND,and.txt,https://iauarchive.eso.org/static/public/constellations/txt/and.txt,raw/and.txt,1146,00c148a632c2c833b03c4c43f96d2d80314826db25d5d9c8359f7d50f6d982fb,2026-09-15T23:38:17+00:00
ANT,ant.txt,https://iauarchive.eso.org/static/public/constellations/txt/ant.txt,raw/ant.txt,402,795b53ade527162e31fee27d28c6b9dcc7a83aac24efdefa66a8b3097fbae5ff,2026-09-15T23:38:17+00:00
APS,aps.txt,https://iauarchive.eso.org/static/public/constellations/txt/aps.txt,raw/aps.txt,310,74afb475ba8d67909b132310b3211330d5020b738e036467324ab2904202eafa,2026-09-15T23:38:17+00:00
AQL,aql.txt,https://iauarchive.eso.org/static/public/constellations/txt/aql.txt,raw/aql.txt,744,b71cf96cde4fe74b83a3c9c70efbb961449c42a156997fdc664d647af004710f,2026-09-15T23:38:17+00:00
AQR,aqr.txt,https://iauarchive.eso.org/static/public/constellations/txt/aqr.txt,raw/aqr.txt,713,bbba932a0da5f9bd3e9385c97efb0946824fbc4adedd4a93597ee4a95210ba50,2026-09-15T23:38:17+00:00
ARA,ara.txt,https://iauarchive.eso.org/static/public/constellations/txt/ara.txt,raw/ara.txt,465,d2b669a1bcc8f68a0a92871c3bdd5c30bb516d95002c882897a56c5797fdedd2,2026-09-15T23:38:17+00:00
ARI,ari.txt,https://iauarchive.eso.org/static/public/constellations/txt/ari.txt,raw/ari.txt,372,268495f93a47eef2f63438e51f6062d230d309ad0e8fe0a6748b8a23ecf32fc8,2026-09-15T23:38:17+00:00
AUR,aur.txt,https://iauarchive.eso.org/static/public/constellations/txt/aur.txt,raw/aur.txt,651,782812c33da9846ff765da480625875de256846f957471a5108de381740dd645,2026-09-15T23:38:17+00:00
BOO,boo.txt,https://iauarchive.eso.org/static/public/constellations/txt/boo.txt,raw/boo.txt,620,7879570457ae512ba1ce87e5e5bf79fa545176af87cce86e081877096bef3ca8,2026-09-15T23:38:17+00:00
CAE,cae.txt,https://iauarchive.eso.org/static/public/constellations/txt/cae.txt,raw/cae.txt,434,9151ba3666f26c17a6530811dea99ef233fed9e908253b9abee8b698d9b991ac,2026-09-15T23:38:17+00:00
CAM,cam.txt,https://iauarchive.eso.org/static/public/constellations/txt/cam.txt,raw/cam.txt,1054,a2da3edb54e6cfa492522ab9c4b9bfbfa0008af01c896d66e2c0c9ef42b2f763,2026-09-15T23:38:17+00:00
