id,name,designation,ra_h,dec_deg,coordinate_source,observing_aid
proxima-centauri,Proxima Centauri,V645 Centauri,14.495262815,-62.679490189,SIMBAD ICRS J2000,🔭
barnards-star,Barnard's Star,,17.963471797,4.693364967,SIMBAD ICRS J2000,🔭
wolf-359,Wolf 359,CN Leonis,10.941366908,7.014723135,SIMBAD ICRS J2000,🔭
lalande-21185,Lalande 21185,Gliese 411,11.055609672,35.969882273,SIMBAD ICRS J2000,B
epsilon-eridani,Epsilon Eridani,ε Eridani,3.548845692,-9.458260971,SIMBAD ICRS J2000,👁
61-cygni,61 Cygni,,21.114983219,38.749417319,SIMBAD ICRS J2000 (61 Cygni A reference direction),👁
algol,Algol,β Persei,3.136148000,40.955648000,Repository HYG v4.1 reconciled bright-star catalog,👁
mira,Mira,ο Ceti,2.322442250,-2.977637667,SIMBAD ICRS J2000,variable
delta-cephei,Delta Cephei,δ Cephei,22.486184073,58.415193782,SIMBAD ICRS J2000,👁
rr-lyrae,RR Lyrae,RR Lyrae,19.424420267,42.784359238,SIMBAD ICRS J2000,B
tabbys-star,Tabby's Star,KIC 8462852,20.104292403,44.456886353,SIMBAD ICRS J2000,🔭
betelgeuse,Betelgeuse,α Orionis,5.919529000,7.407063000,Repository HYG v4.1 reconciled bright-star catalog,👁
rigel,Rigel,β Orionis,5.242298000,-8.201640000,Repository HYG v4.1 reconciled bright-star catalog,👁
antares,Antares,α Scorpii,16.490128000,-26.432002000,Repository HYG v4.1 reconciled bright-star catalog,👁
mu-cephei,Herschel's Garnet Star,μ Cephei,21.725127654,58.780046094,SIMBAD ICRS J2000,👁
deneb,Deneb,α Cygni,20.690532000,45.280338000,Repository HYG v4.1 reconciled bright-star catalog,👁
sirius-b,Sirius and Sirius B,α Canis Majoris,6.752481000,-16.716116000,Repository HYG v4.1 reconciled bright-star catalog (Sirius A reference direction),🔭
40-eridani-b,40 Eridani B,ο² Eridani B,4.256054366,-7.658112219,SIMBAD ICRS J2000,🔭
vega,Vega,α Lyrae,18.615640000,38.783692000,Repository HYG v4.1 reconciled bright-star catalog,👁
thuban,Thuban,α Draconis,14.073165000,64.375850000,Repository audited Bayer catalog,👁
polaris,Polaris,α Ursae Minoris,2.529750000,89.264109000,Repository HYG v4.1 reconciled bright-star catalog,👁
arcturus,Arcturus,α Boötis,14.261030000,19.182410000,Repository HYG v4.1 reconciled bright-star catalog,👁
r-coronae-borealis,R Coronae Borealis,R CrB,15.809558333,28.156750000,AAVSO VSX J2000,variable
eta-carinae,Eta Carinae,η Carinae,10.750984947,-59.684430900,SIMBAD ICRS J2000,👁
