name,title,season,stated_date,ra_h,dec_deg,coordinate_source,observing_aid,printed_magnitude,printed_observing_text,best_instant_utc,computed_date,iso,status
Proxima Centauri,Proxima Centauri --- V645 Centauri,Tropical Summer,2026-06-14,14.495262815,-62.679490189,SIMBAD ICRS J2000,🔭,11,Telescope,2026-06-14 01:35,2026-06-14,2026-W24-7,PASS
Barnard's Star,Barnard's Star,Tropical Summer,2026-08-04,17.963471797,4.693364967,SIMBAD ICRS J2000,🔭,10,Telescope,2026-08-04 08:16,2026-08-04,2026-W32-2,PASS
Wolf 359,Wolf 359 --- CN Leonis,Tropical Spring,2026-04-21,10.941366908,7.014723135,SIMBAD ICRS J2000,🔭,14,Telescope,2026-04-21 08:35,2026-04-21,2026-W17-2,PASS
Lalande 21185,Lalande 21185 --- Gliese 411,Northern Spring,2026-04-23,11.055609672,35.969882273,SIMBAD ICRS J2000,B,7,Binocular,2026-04-23 04:28,2026-04-23,2026-W17-4,PASS
Epsilon Eridani,Epsilon Eridani --- ε Eridani,Southern Winter,2026-12-29,3.548845692,-9.458260971,SIMBAD ICRS J2000,👁,4,Naked eye,2026-12-29 06:57,2026-12-29,2026-W53-2,PASS
61 Cygni,61 Cygni,Northern Autumn,2026-09-25,21.114983219,38.749417319,SIMBAD ICRS J2000 (61 Cygni A reference direction),👁,5,Naked eye; telescope to resolve the pair,2026-09-24 22:15,2026-09-25,2026-W39-5,PASS
Algol,Algol --- β Persei,Northern Winter,2026-12-24,3.136148000,40.955648000,Repository HYG v4.1 reconciled bright-star catalog,👁,2,Naked eye,2026-12-23 16:59,2026-12-24,2026-W52-4,PASS
Mira,Mira --- ο Ceti,Tropical Autumn,2026-12-13,2.322442250,-2.977637667,SIMBAD ICRS J2000,variable,variable,"Variable --- naked eye near favorable maxima, telescope near minimum",2026-12-12 16:32,2026-12-13,2026-W50-7,PASS
Delta Cephei,Delta Cephei --- δ Cephei,Northern Autumn,2026-10-17,22.486184073,58.415193782,SIMBAD ICRS J2000,👁,variable,Naked eye,2026-10-17 10:39,2026-10-17,2026-W42-6,PASS
RR Lyrae,RR Lyrae,Northern Summer,2026-08-28,19.424420267,42.784359238,SIMBAD ICRS J2000,B,variable,Binocular,2026-08-27 18:23,2026-08-28,2026-W35-5,PASS
Tabby's Star,Tabby's Star --- Boyajian's Star --- KIC 8462852,Northern Summer,2026-09-08,20.104292403,44.456886353,SIMBAD ICRS J2000,🔭,12,Telescope,2026-09-08 00:44,2026-09-08,2026-W37-2,PASS
Betelgeuse,Betelgeuse --- α Orionis,Tropical Winter,2026-01-31,5.919529000,7.407063000,Repository HYG v4.1 reconciled bright-star catalog,👁,1,Naked eye,2026-01-31 05:16,2026-01-31,2026-W05-6,PASS
Rigel,Rigel --- β Orionis,Tropical Winter,2026-01-21,5.242298000,-8.201640000,Repository HYG v4.1 reconciled bright-star catalog,👁,0,Naked eye,2026-01-21 10:41,2026-01-21,2026-W04-3,PASS
Antares,Antares --- α Scorpii,Southern Summer,2026-07-13,16.490128000,-26.432002000,Repository HYG v4.1 reconciled bright-star catalog,👁,1,Naked eye,2026-07-13 00:32,2026-07-13,2026-W29-1,PASS
Herschel's Garnet Star,Herschel's Garnet Star --- μ Cephei,Northern Autumn,2026-10-05,21.725127654,58.780046094,SIMBAD ICRS J2000,👁,variable,Naked eye under suitable conditions,2026-10-05 01:19,2026-10-05,2026-W41-1,PASS
Deneb,Deneb --- α Cygni,Northern Autumn,2026-09-18,20.690532000,45.280338000,Repository HYG v4.1 reconciled bright-star catalog,👁,1,Naked eye,2026-09-17 19:56,2026-09-18,2026-W38-5,PASS
Sirius and Sirius B,Sirius and Sirius B --- α Canis Majoris,Southern Winter,2026-02-13,6.752481000,-16.716116000,Repository HYG v4.1 reconciled bright-star catalog (Sirius A reference direction),🔭,−1,"Sirius, naked eye; Sirius B, telescope",2026-02-12 16:34,2026-02-13,2026-W07-5,PASS
40 Eridani B,40 Eridani B --- ο² Eridani B,Tropical Winter,2026-01-08,4.256054366,-7.658112219,SIMBAD ICRS J2000,🔭,9,Telescope,2026-01-07 16:27,2026-01-08,2026-W02-4,PASS
Vega,Vega --- α Lyrae: the pole of deep prehistory,Northern Summer,2026-08-15,18.615640000,38.783692000,Repository HYG v4.1 reconciled bright-star catalog,👁,0,Naked eye,2026-08-14 15:25,2026-08-15,2026-W33-6,PASS
Thuban,Thuban --- α Draconis: north for ancient civilization,Northern Spring,2026-06-08,14.073165000,64.375850000,Repository audited Bayer catalog,👁,4,Naked eye,2026-06-07 22:56,2026-06-08,2026-W24-1,PASS
Polaris,Polaris --- α Ursae Minoris: north now,Arctic Winter,2026-12-16,2.529750000,89.264109000,Repository HYG v4.1 reconciled bright-star catalog,👁,2,Naked eye,2026-12-15 12:06,2026-12-16,2026-W51-3,PASS
Arcturus,Arcturus --- α Boötis,Tropical Summer,2026-06-11,14.261030000,19.182410000,Repository HYG v4.1 reconciled bright-star catalog,👁,0,Naked eye,2026-06-10 16:18,2026-06-11,2026-W24-4,PASS
