iso_week,monday_utc,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune,ceres
2026-W01,2025-12-29,♑ 7°31′,♈ 22°56′,♐ 24°06′,♑ 5°26′,♑ 10°24′,♋ 21°45′,♓ 26°00′,♉ 28°02′,♓ 29°28′,♈ 6°27′
2026-W02,2026-01-05,♑ 14°39′,♌ 6°11′,♑ 4°48′,♑ 14°14′,♑ 15°46′,♋ 20°50′,♓ 26°25′,♉ 27°51′,♓ 29°34′,♈ 7°57′
2026-W03,2026-01-12,♑ 21°47′,♏ 6°30′,♑ 15°48′,♑ 23°03′,♑ 21°09′,♋ 19°53′,♓ 26°54′,♉ 27°41′,♓ 29°41′,♈ 9°38′
2026-W04,2026-01-19,♑ 28°54′,♒ 0°53′,♑ 27°11′,♒ 1°51′,♑ 26°35′,♋ 18°57′,♓ 27°27′,♉ 27°34′,♓ 29°49′,♈ 11°29′
2026-W05,2026-01-26,♒ 6°02′,♉ 3°26′,♒ 9°00′,♒ 10°39′,♒ 2°02′,♋ 18°04′,♓ 28°04′,♉ 27°30′,♓ 29°59′,♈ 13°28′
2026-W06,2026-02-02,♒ 13°08′,♌ 14°09′,♒ 21°15′,♒ 19°26′,♒ 7°31′,♋ 17°15′,♓ 28°44′,♉ 27°28′,♈ 0°10′,♈ 15°36′
2026-W07,2026-02-09,♒ 20°14′,♏ 14°27′,♓ 3°34′,♒ 28°13′,♒ 13°00′,♋ 16°32′,♓ 29°28′,♉ 27°28′,♈ 0°22′,♈ 17°50′
2026-W08,2026-02-16,♒ 27°19′,♒ 9°22′,♓ 14°41′,♓ 6°59′,♒ 18°30′,♋ 15°57′,♈ 0°13′,♉ 27°31′,♈ 0°36′,♈ 20°10′
2026-W09,2026-02-23,♓ 4°22′,♉ 14°22′,♓ 21°41′,♓ 15°44′,♒ 24°01′,♋ 15°31′,♈ 1°01′,♉ 27°37′,♈ 0°50′,♈ 22°36′
2026-W10,2026-03-02,♓ 11°25′,♌ 22°53′,♓ 21°28′,♓ 24°28′,♒ 29°32′,♋ 15°13′,♈ 1°51′,♉ 27°45′,♈ 1°05′,♈ 25°06′
2026-W11,2026-03-09,♓ 18°25′,♏ 22°14′,♓ 15°19′,♈ 3°10′,♓ 5°03′,♋ 15°06′,♈ 2°41′,♉ 27°56′,♈ 1°20′,♈ 27°40′
2026-W12,2026-03-16,♓ 25°24′,♒ 17°19′,♓ 9°41′,♈ 11°52′,♓ 10°34′,♋ 15°08′,♈ 3°33′,♉ 28°09′,♈ 1°36′,♉ 0°18′
2026-W13,2026-03-23,♈ 2°22′,♉ 24°59′,♓ 8°43′,♈ 20°32′,♓ 16°04′,♋ 15°19′,♈ 4°25′,♉ 28°24′,♈ 1°52′,♉ 2°59′
2026-W14,2026-03-30,♈ 9°18′,♍ 2°27′,♓ 12°07′,♈ 29°11′,♓ 21°33′,♋ 15°39′,♈ 5°18′,♉ 28°41′,♈ 2°08′,♉ 5°42′
2026-W15,2026-04-06,♈ 16°12′,♐ 0°14′,♓ 18°33′,♉ 7°47′,♓ 27°01′,♋ 16°09′,♈ 6°10′,♉ 28°59′,♈ 2°23′,♉ 8°28′
2026-W16,2026-04-13,♈ 23°05′,♒ 25°10′,♓ 27°04′,♉ 16°22′,♈ 2°29′,♋ 16°46′,♈ 7°02′,♉ 29°19′,♈ 2°39′,♉ 11°15′
2026-W17,2026-04-20,♈ 29°56′,♊ 4°47′,♈ 7°11′,♉ 24°55′,♈ 7°54′,♋ 17°31′,♈ 7°52′,♉ 29°41′,♈ 2°54′,♉ 14°04′
2026-W18,2026-04-27,♉ 6°45′,♍ 12°26′,♈ 18°44′,♊ 3°26′,♈ 13°18′,♋ 18°22′,♈ 8°41′,♊ 0°03′,♈ 3°08′,♉ 16°54′
2026-W19,2026-05-04,♉ 13°33′,♐ 8°41′,♉ 1°42′,♊ 11°55′,♈ 18°40′,♋ 19°20′,♈ 9°29′,♊ 0°27′,♈ 3°21′,♉ 19°45′
2026-W20,2026-05-11,♉ 20°20′,♓ 3°23′,♉ 16°02′,♊ 20°21′,♈ 24°00′,♋ 20°24′,♈ 10°14′,♊ 0°50′,♈ 3°34′,♉ 22°37′
2026-W21,2026-05-18,♉ 27°05′,♊ 13°44′,♊ 1°14′,♊ 28°45′,♈ 29°18′,♋ 21°33′,♈ 10°57′,♊ 1°15′,♈ 3°45′,♉ 25°29′
2026-W22,2026-05-25,♊ 3°49′,♍ 22°18′,♊ 16°02′,♋ 7°06′,♉ 4°33′,♋ 22°47′,♈ 11°38′,♊ 1°39′,♈ 3°55′,♉ 28°22′
2026-W23,2026-06-01,♊ 10°32′,♐ 17°29′,♊ 29°09′,♋ 15°24′,♉ 9°46′,♋ 24°04′,♈ 12°15′,♊ 2°04′,♈ 4°04′,♊ 1°14′
2026-W24,2026-06-08,♊ 17°14′,♓ 12°16′,♋ 10°01′,♋ 23°38′,♉ 14°56′,♋ 25°25′,♈ 12°48′,♊ 2°28′,♈ 4°11′,♊ 4°06′
2026-W25,2026-06-15,♊ 23°56′,♊ 22°12′,♋ 18°24′,♌ 1°48′,♉ 20°03′,♋ 26°49′,♈ 13°18′,♊ 2°52′,♈ 4°17′,♊ 6°58′
2026-W26,2026-06-22,♋ 0°37′,♎ 1°39′,♋ 24°00′,♌ 9°54′,♉ 25°07′,♋ 28°15′,♈ 13°44′,♊ 3°14′,♈ 4°21′,♊ 9°49′
2026-W27,2026-06-29,♋ 7°18′,♐ 26°23′,♋ 26°14′,♌ 17°55′,♊ 0°08′,♋ 29°44′,♈ 14°06′,♊ 3°36′,♈ 4°24′,♊ 12°39′
2026-W28,2026-07-06,♋ 13°58′,♓ 21°50′,♋ 24°49′,♌ 25°50′,♊ 5°06′,♌ 1°14′,♈ 14°23′,♊ 3°57′,♈ 4°25′,♊ 15°27′
2026-W29,2026-07-13,♋ 20°39′,♋ 0°46′,♋ 20°44′,♍ 3°38′,♊ 10°01′,♌ 2°46′,♈ 14°35′,♊ 4°16′,♈ 4°25′,♊ 18°15′
2026-W30,2026-07-20,♋ 27°20′,♎ 10°19′,♋ 17°01′,♍ 11°18′,♊ 14°52′,♌ 4°18′,♈ 14°43′,♊ 4°34′,♈ 4°23′,♊ 21°00′
2026-W31,2026-07-27,♌ 4°01′,♑ 5°05′,♋ 16°46′,♍ 18°49′,♊ 19°41′,♌ 5°51′,♈ 14°45′,♊ 4°50′,♈ 4°19′,♊ 23°43′
2026-W32,2026-08-03,♌ 10°42′,♈ 1°51′,♋ 21°19′,♍ 26°08′,♊ 24°25′,♌ 7°24′,♈ 14°42′,♊ 5°04′,♈ 4°14′,♊ 26°24′
2026-W33,2026-08-10,♌ 17°25′,♋ 9°58′,♌ 0°30′,♎ 3°12′,♊ 29°06′,♌ 8°57′,♈ 14°35′,♊ 5°16′,♈ 4°08′,♊ 29°02′
